date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:49:31	53833/53833	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/buttons.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/buttons.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:31	43965/43965	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/grid.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/grid.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:32	47190/47190	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/panels.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/panels.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:32	37204/37204	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/sweet-alert.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/sweet-alert.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:33	46752/46752	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/notifications.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/notifications.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:33	63942/63942	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/icons.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/icons.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:34	40130/40130	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/typography.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/components/typography.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:35	48042/48042	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/forms/regular.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/forms/regular.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:35	44515/44515	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/forms/extended.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/forms/extended.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
12:49:36	43813/43813	---MCZ	200	added ('OK')	text/html	date:Mon,%2003%20Feb%202020%2012:26:45%20GMT	https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/forms/validation.html	C:/Users/USER/Desktop/WibeExpress/BackendTemplate/demos.creative-tim.com/marketplace/black-dashboard-pro/examples/forms/validation.html	(from https://demos.creative-tim.com/marketplace/black-dashboard-pro/examples/dashboard.html)
